timestamp,bpm,quality,source,restorative
2023-09-12T19:38:50.000Z,78,good,awake,False
2023-09-12T19:38:54.000Z,75,good,awake,False
2023-09-12T19:39:17.000Z,79,good,awake,False
2023-09-12T19:50:28.000Z,78,bad,awake,False
2023-09-12T19:50:39.000Z,97,bad,awake,False
2023-09-12T19:50:41.000Z,94,bad,awake,False
2023-09-12T20:06:28.000Z,79,good,awake,False
2023-09-12T20:06:46.000Z,82,good,awake,False
2023-09-12T20:06:51.000Z,87,good,awake,False
2023-09-12T20:11:53.000Z,64,bad,awake,False
2023-09-12T20:11:57.000Z,88,bad,awake,False
2023-09-12T20:12:01.000Z,99,bad,awake,False
2023-09-12T20:17:05.000Z,75,average,awake,False
2023-09-12T20:17:12.000Z,77,average,awake,False
2023-09-12T20:17:13.000Z,76,average,awake,False
2023-09-12T20:21:41.000Z,68,good,awake,False
2023-09-12T20:21:49.000Z,74,good,awake,False
2023-09-12T20:22:16.000Z,70,good,awake,False
2023-09-12T20:27:08.000Z,77,good,awake,False
2023-09-12T20:27:11.000Z,74,good,awake,False
2023-09-12T20:27:19.000Z,72,good,awake,False
2023-09-12T20:32:05.000Z,86,good,awake,False
2023-09-12T20:32:10.000Z,82,good,awake,False
2023-09-12T20:32:15.000Z,79,good,awake,False
2023-09-12T20:37:13.000Z,77,good,awake,False
2023-09-12T20:37:25.000Z,80,good,awake,False
2023-09-12T20:37:26.000Z,78,good,awake,False
2023-09-12T20:42:27.000Z,58,bad,awake,False
2023-09-12T20:42:35.000Z,66,bad,awake,False
2023-09-12T20:43:01.000Z,87,bad,awake,False
2023-09-12T20:47:35.000Z,61,average,awake,False
2023-09-12T20:47:40.000Z,77,average,awake,False
2023-09-12T20:47:42.000Z,70,average,awake,False
2023-09-12T20:52:54.000Z,78,good,awake,False
2023-09-12T20:53:06.000Z,84,good,awake,False
2023-09-12T20:53:10.000Z,75,good,awake,False
2023-09-12T20:57:59.000Z,76,good,awake,False
2023-09-12T20:58:09.000Z,73,good,awake,False
2023-09-12T20:58:17.000Z,75,good,awake,False
2023-09-12T21:03:01.000Z,79,good,awake,False
2023-09-12T21:03:13.000Z,75,good,awake,False
2023-09-12T21:03:34.000Z,76,good,awake,False
2023-09-12T21:08:18.000Z,79,good,awake,False
2023-09-12T21:08:19.000Z,75,good,awake,False
2023-09-12T21:08:25.000Z,77,good,awake,False
2023-09-12T21:13:26.000Z,84,good,awake,False
2023-09-12T21:13:33.000Z,76,good,awake,False
2023-09-12T21:13:52.000Z,87,good,awake,False
2023-09-12T21:18:45.000Z,75,good,awake,False
2023-09-12T21:18:48.000Z,77,good,awake,False
2023-09-12T21:18:52.000Z,79,good,awake,False
2023-09-12T21:29:44.000Z,71,good,awake,False
2023-09-12T21:29:47.000Z,68,good,awake,False
2023-09-12T21:29:48.000Z,67,good,awake,False
2023-09-12T21:34:24.000Z,72,good,awake,False
2023-09-12T21:34:26.000Z,77,good,awake,False
2023-09-12T21:34:37.000Z,75,good,awake,False
2023-09-12T21:45:36.000Z,75,good,awake,False
2023-09-12T21:45:37.000Z,76,good,awake,False
2023-09-12T21:45:41.000Z,81,good,awake,False
2023-09-12T21:55:46.000Z,69,good,awake,False
2023-09-12T21:55:48.000Z,70,good,awake,False
2023-09-12T21:55:59.000Z,71,good,awake,False
2023-09-12T22:00:39.000Z,75,good,awake,False
2023-09-12T22:00:44.000Z,71,good,awake,False
2023-09-12T22:00:50.000Z,72,good,awake,False
2023-09-12T22:05:50.000Z,73,good,awake,False
2023-09-12T22:05:53.000Z,75,good,awake,False
2023-09-12T22:06:26.000Z,71,good,awake,False
2023-09-12T22:11:34.000Z,71,good,awake,False
2023-09-12T22:11:37.000Z,77,good,awake,False
2023-09-12T22:11:39.000Z,75,good,awake,False
2023-09-12T22:17:33.000Z,79,good,awake,False
2023-09-12T22:17:48.000Z,75,good,awake,False
2023-09-12T22:18:07.000Z,82,good,awake,False
2023-09-12T22:22:55.000Z,74,good,awake,False
2023-09-12T22:23:28.000Z,79,good,awake,False
2023-09-12T22:23:29.000Z,72,good,awake,False
2023-09-12T22:28:25.000Z,67,average,awake,False
2023-09-12T22:28:26.000Z,72,average,awake,False
2023-09-12T22:28:28.000Z,66,average,awake,False
2023-09-12T22:33:38.000Z,65,good,awake,False
2023-09-12T22:33:39.000Z,67,good,awake,False
2023-09-12T22:33:46.000Z,63,good,awake,False
2023-09-12T22:39:02.000Z,64,good,awake,False
2023-09-12T22:39:11.000Z,67,good,awake,False
2023-09-12T22:39:13.000Z,65,good,awake,False
2023-09-12T22:44:17.000Z,81,good,awake,False
2023-09-12T22:44:19.000Z,80,good,awake,False
2023-09-12T22:44:25.000Z,72,good,awake,False
2023-09-12T22:49:23.000Z,60,good,awake,False
2023-09-12T22:49:27.000Z,58,good,awake,False
2023-09-12T22:49:29.000Z,65,good,awake,False
2023-09-12T22:59:45.000Z,63,good,awake,False
2023-09-12T23:00:21.000Z,66,good,awake,False
2023-09-12T23:00:25.000Z,68,good,awake,False
2023-09-12T23:05:11.000Z,61,good,awake,False
2023-09-12T23:05:34.000Z,63,good,awake,False
2023-09-12T23:05:39.000Z,64,good,awake,False
2023-09-12T23:10:21.000Z,64,good,awake,False
2023-09-12T23:10:38.000Z,65,good,awake,False
2023-09-12T23:10:42.000Z,63,good,awake,False
2023-09-12T23:16:34.000Z,72,bad,awake,False
2023-09-12T23:16:43.000Z,93,bad,awake,False
2023-09-12T23:16:51.000Z,77,bad,awake,False
2023-09-12T23:27:39.000Z,101,bad,awake,False
2023-09-12T23:27:42.000Z,94,bad,awake,False
2023-09-12T23:28:05.000Z,92,bad,awake,False
2023-09-12T23:45:05.000Z,75,good,awake,False
2023-09-12T23:45:11.000Z,72,good,awake,False
2023-09-12T23:45:34.000Z,83,good,awake,False
2023-09-12T23:50:16.000Z,60,good,awake,False
2023-09-12T23:50:26.000Z,61,good,awake,False
2023-09-12T23:50:35.000Z,63,good,awake,False
2023-09-13T06:08:26.000Z,81,good,awake,False
2023-09-13T06:08:27.000Z,73,good,awake,False
2023-09-13T06:08:32.000Z,77,good,awake,False
2023-09-13T06:18:42.000Z,74,good,awake,False
2023-09-13T06:19:20.000Z,91,good,awake,False
2023-09-13T06:19:24.000Z,80,good,awake,False
2023-09-13T06:30:11.000Z,88,bad,awake,False
2023-09-13T06:30:12.000Z,89,bad,awake,False
2023-09-13T06:30:29.000Z,78,bad,awake,False
2023-09-13T06:41:52.000Z,73,bad,awake,False
2023-09-13T06:42:01.000Z,78,bad,awake,False
2023-09-13T06:42:05.000Z,93,bad,awake,False
2023-09-13T06:47:32.000Z,75,bad,awake,False
2023-09-13T06:47:39.000Z,89,bad,awake,False
2023-09-13T06:48:00.000Z,72,bad,awake,False
2023-09-13T06:54:11.000Z,76,good,awake,False
2023-09-13T06:54:22.000Z,81,good,awake,False
2023-09-13T06:54:51.000Z,72,good,awake,False
2023-09-13T06:59:59.000Z,84,bad,awake,False
2023-09-13T07:00:25.000Z,93,bad,awake,False
2023-09-13T07:00:26.000Z,78,bad,awake,False
2023-09-13T07:12:15.000Z,92,good,awake,False
2023-09-13T07:12:21.000Z,86,good,awake,False
2023-09-13T07:12:25.000Z,90,good,awake,False
2023-09-13T07:17:20.000Z,92,good,awake,False
2023-09-13T07:17:33.000Z,99,good,awake,False
2023-09-13T07:17:41.000Z,94,good,awake,False
2023-09-13T07:28:20.000Z,103,good,awake,False
2023-09-13T07:28:50.000Z,94,good,awake,False
2023-09-13T07:28:54.000Z,86,good,awake,False
2023-09-13T07:33:24.000Z,91,good,awake,False
2023-09-13T07:33:32.000Z,92,good,awake,False
2023-09-13T07:33:37.000Z,89,good,awake,False
2023-09-13T07:38:40.000Z,100,good,awake,False
2023-09-13T07:38:42.000Z,97,good,awake,False
2023-09-13T07:39:09.000Z,93,good,awake,False
2023-09-13T07:43:43.000Z,93,good,awake,False
2023-09-13T07:43:47.000Z,89,good,awake,False
2023-09-13T07:43:55.000Z,91,good,awake,False
2023-09-13T07:49:23.000Z,96,good,awake,False
2023-09-13T07:49:31.000Z,91,good,awake,False
2023-09-13T07:49:35.000Z,92,good,awake,False
2023-09-13T07:54:12.000Z,92,good,awake,False
2023-09-13T07:54:20.000Z,95,good,awake,False
2023-09-13T07:54:27.000Z,96,good,awake,False
2023-09-13T07:59:20.000Z,104,good,awake,False
2023-09-13T07:59:21.000Z,102,good,awake,False
2023-09-13T07:59:22.000Z,99,good,awake,False
2023-09-13T08:05:07.000Z,102,good,awake,False
2023-09-13T08:05:12.000Z,99,good,awake,False
2023-09-13T08:05:17.000Z,100,good,awake,False
2023-09-13T08:15:31.000Z,90,good,awake,False
2023-09-13T08:15:32.000Z,96,good,awake,False
2023-09-13T08:15:33.000Z,99,good,awake,False
2023-09-13T08:20:25.000Z,96,good,awake,False
2023-09-13T08:20:34.000Z,102,good,awake,False
2023-09-13T08:20:56.000Z,110,good,awake,False
2023-09-13T08:25:55.000Z,97,good,awake,False
2023-09-13T08:26:08.000Z,94,good,awake,False
2023-09-13T08:26:13.000Z,91,good,awake,False
2023-09-13T08:31:19.000Z,85,good,awake,False
2023-09-13T08:31:23.000Z,80,good,awake,False
2023-09-13T08:31:33.000Z,77,good,awake,False
